customer_id,signup_date,state,segment
1,2022-03-07,FL,consumer
2,2023-07-19,CA,small_business
3,2023-04-23,IL,enterprise
4,2022-11-17,CA,consumer
5,2022-11-13,CA,small_business
6,2023-09-19,FL,small_business
7,2022-03-04,PA,small_business
8,2023-05-25,NC,consumer
9,2022-05-28,GA,consumer
10,2022-03-10,NC,consumer
11,2023-01-20,GA,small_business
12,2023-12-14,OH,small_business
13,2023-06-22,CA,consumer
14,2023-07-10,PA,consumer
15,2023-06-08,CA,consumer
16,2023-07-28,CA,consumer
17,2023-01-10,CA,small_business
18,2022-04-04,GA,consumer
19,2023-09-06,OH,consumer
20,2022-11-25,WA,consumer
21,2023-01-01,WA,small_business
22,2022-09-28,NC,small_business
23,2022-05-14,CA,consumer
24,2023-11-08,NC,consumer
25,2023-07-25,GA,small_business
26,2023-04-16,NC,small_business
27,2022-10-21,CA,consumer
28,2023-08-24,CA,consumer
29,2023-02-03,WA,consumer
30,2022-11-20,CA,consumer
31,2022-11-25,NY,consumer
32,2022-06-15,FL,enterprise
33,2022-03-09,CA,consumer
34,2023-02-09,CA,small_business
35,2023-10-11,WA,consumer
36,2022-02-16,NC,consumer
37,2023-09-19,NC,consumer
38,2023-08-28,TX,consumer
39,2022-07-22,TX,small_business
40,2023-04-07,NY,consumer
41,2022-05-01,FL,consumer
42,2023-07-08,CA,small_business
43,2023-05-27,GA,consumer
44,2022-09-16,WA,consumer
45,2022-02-19,FL,small_business
46,2023-12-10,NY,consumer
47,2022-11-22,NY,consumer
48,2023-10-14,CA,consumer
49,2023-05-10,TX,consumer
50,2023-07-23,FL,consumer
51,2023-07-09,NY,small_business
52,2022-05-23,IL,consumer
53,2022-09-23,NC,enterprise
54,2022-12-07,TX,consumer
55,2022-12-30,CA,consumer
56,2022-02-01,CA,consumer
57,2023-02-03,CA,consumer
58,2022-04-23,IL,consumer
59,2023-06-27,GA,small_business
60,2023-05-14,NC,small_business
61,2023-11-05,PA,small_business
62,2023-06-28,NY,consumer
63,2022-09-25,CA,small_business
64,2023-12-08,NY,consumer
65,2022-10-27,NY,small_business
66,2022-08-26,NC,small_business
67,2023-10-24,FL,consumer
68,2022-09-28,TX,consumer
69,2022-02-25,TX,small_business
70,2022-12-09,CA,consumer
71,2023-08-04,NC,small_business
72,2022-05-19,CA,enterprise
73,2022-12-04,CA,consumer
74,2022-04-05,TX,consumer
75,2023-05-17,GA,consumer
76,2022-12-14,FL,small_business
77,2022-08-30,PA,consumer
78,2022-06-15,NY,consumer
79,2023-02-17,CA,consumer
80,2023-05-04,NC,enterprise
81,2023-11-18,TX,small_business
82,2022-11-16,CA,consumer
83,2022-04-28,IL,enterprise
84,2023-08-31,CA,consumer
85,2023-04-05,CA,enterprise
86,2023-05-27,GA,consumer
87,2022-03-12,FL,consumer
88,2022-08-17,TX,small_business
89,2023-07-15,NY,consumer
90,2023-08-31,OH,consumer
91,2022-11-14,CA,small_business
92,2023-08-11,CA,consumer
93,2023-09-07,IL,consumer
94,2022-10-10,IL,consumer
95,2023-10-18,WA,consumer
96,2022-07-30,NY,consumer
97,2022-06-24,CA,consumer
98,2023-05-14,FL,consumer
99,2023-04-10,PA,small_business
100,2022-04-13,CA,consumer
101,2023-08-31,IL,consumer
102,2022-05-26,TX,consumer
103,2023-08-11,NC,consumer
104,2022-01-06,GA,consumer
105,2023-08-05,NY,consumer
106,2023-07-29,WA,consumer
107,2023-07-24,WA,consumer
108,2023-05-01,CA,consumer
109,2022-12-11,NY,consumer
110,2023-05-30,IL,small_business
111,2022-07-22,CA,small_business
112,2023-07-24,NY,small_business
113,2023-02-10,TX,consumer
114,2022-12-02,WA,consumer
115,2023-01-05,NY,consumer
116,2023-02-20,GA,consumer
117,2022-01-28,NY,consumer
118,2022-04-13,CA,consumer
119,2022-06-29,NC,consumer
120,2022-03-25,CA,small_business
121,2022-11-17,CA,consumer
122,2023-05-03,NY,consumer
123,2023-04-23,PA,consumer
124,2022-12-10,NY,consumer
125,2023-09-17,CA,consumer
126,2023-02-17,TX,consumer
127,2022-02-27,TX,consumer
128,2023-07-13,CA,consumer
129,2023-02-24,FL,enterprise
130,2023-04-09,CA,consumer
131,2023-02-17,TX,consumer
132,2023-02-09,PA,consumer
133,2022-03-08,OH,consumer
134,2023-02-13,TX,consumer
135,2023-08-04,NY,enterprise
136,2022-08-10,TX,consumer
137,2023-03-17,WA,consumer
138,2022-01-23,TX,enterprise
139,2022-09-11,TX,consumer
140,2022-11-15,FL,consumer
141,2023-12-19,TX,consumer
142,2022-06-06,CA,consumer
143,2022-07-21,CA,enterprise
144,2022-10-26,PA,consumer
